movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20223790,금붕어 죽이기,To Kill a Goldfish,2020.0,,단편,기타,한국,기타,한국,기타
20216633,다이브,Dive,2021.0,,단편,기타,한국,드라마,한국,드라마
20216654,약육강식,Law of Jungle,2021.0,,단편,기타,한국,드라마,한국,드라마
20247556,바이탈 사인,,2021.0,,단편,기타,한국,드라마,한국,드라마
20223697,형광등,Fluorescent Light,2021.0,,단편,기타,한국,기타,한국,기타
20247313,"너도 내가 마음에 안 들겠지, 나도 그래","Haters: I Know You Don't Like Me, I Don't Like Me Either",2023.0,,단편,기타,한국,드라마,한국,드라마
20239914,나의 제주 에세이,My Essay on JEJU,2021.0,,단편,기타,한국,"드라마,코미디,다큐멘터리",한국,드라마
20205783,시네필,Cinephile,2020.0,,단편,기타,한국,기타,한국,기타
20223567,파도가 칠 때,When the waves rise,2020.0,,장편,기타,한국,드라마,한국,드라마
20247555,좀비연금특별법,,2021.0,,단편,기타,한국,기타,한국,기타
20247554,미풍,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247553,꼭 뽑아야 하나요?,,2021.0,,단편,기타,한국,드라마,한국,드라마
20215704,서울손님,Seoul Guest,2020.0,,단편,기타,한국,드라마,한국,드라마
20247534,아무런 사람들,,2021.0,,장편,기타,한국,드라마,한국,드라마
20247533,소설가 베일의 취미 생활,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247532,크리에이터,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247531,베스트셀러,,2021.0,,단편,기타,한국,코미디,한국,코미디
20219972,배달의 하이바, A Delivery Man,2020.0,,단편,기타,한국,드라마,한국,드라마
20247530,자유낙하,,2021.0,,단편,기타,한국,드라마,한국,드라마
20201352,욕구불안,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247512,잘가,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247511,대학로의 왕,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247510,엄마와 담배,,2020.0,,단편,기타,한국,드라마,한국,드라마
20247529,아무도 없는 방에서 오물 뒤집어쓰기,,2021.0,,단편,기타,한국,드라마,한국,드라마
20212556,완벽한 동그라미,The Perfect Circle,2020.0,,단편,기타,한국,기타,한국,기타
20247528,고라니 로맨스,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247509,소금,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247508,온도의 차이,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247527,답시,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247526,저 아닌데요,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247506,리셋,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247507,바운더리,,2023.0,,단편,기타,한국,드라마,한국,드라마
20216574,댄싱 인 더 스트리트,Dancing In The Street,2021.0,,단편,기타,한국,드라마,한국,드라마
20247505,매직 로드,,2021.0,,장편,,러시아,판타지,러시아,판타지
20247504,리바이벌69: 세계를 뒤흔든 콘서트,,2022.0,,장편,기타,미국,다큐멘터리,미국,다큐멘터리
20233971,돈 룩 디퍼,Don't Look Deeper,2022.0,20230907.0,장편,개봉,미국,"SF,드라마,스릴러",미국,SF
20235773,사랑엔 정의가 없다,,2023.0,20231211.0,장편,개봉,한국,드라마,한국,드라마
20223406,안개속에 가버린 사랑,,1969.0,,장편,기타,한국,드라마,한국,드라마
20246960,결혼 전 뚫려버린 순결,,2023.0,20240126.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20246959,명탐정 추태에 빠져버린 처자,,2023.0,20240126.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247335,늘 젖은 음란 사진관의 여사장,,2023.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20247218,제수씨 내 마누라가 되어줘,SEISYORIBEXTUTO,2022.0,20240130.0,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20247197,쉿! 장모님 아내에게는 비밀이에요,YOMENOHAHAOYA-02,2022.0,20240130.0,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20247216,어느날 남편의 상사가 들어왔다,BUKANITYOUKYOYSARETE KAIRAKU-02,2021.0,20240130.0,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
